latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
8.9343,80.84019,334.99,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,297.77,3.14,D
8.93792,80.83959,333.97,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,296.91,3.14,D
8.94222,80.84321,336.45,0.46,0.39,2025-09-03,0746,N,low,2.0NRT,298.02,4.37,D
8.97528,80.79453,330.43,0.47,0.39,2025-09-03,0746,N,low,2.0NRT,296.9,2.45,D
8.70748,78.10978,332.66,0.45,0.47,2025-09-03,0746,N,nominal,2.0NRT,298.3,2.5,D
9.13229,80.27653,335.07,0.49,0.4,2025-09-03,0746,N,low,2.0NRT,293.87,5.56,D
8.84604,77.95161,334.81,0.46,0.47,2025-09-03,0746,N,nominal,2.0NRT,299.81,2.34,D
9.37746,80.64925,330.23,0.47,0.4,2025-09-03,0746,N,low,2.0NRT,295.13,6.26,D
9.41152,80.379,333.46,0.48,0.4,2025-09-03,0746,N,low,2.0NRT,296.75,4.43,D
9.03901,77.78745,343.25,0.46,0.47,2025-09-03,0746,N,nominal,2.0NRT,296.01,5.7,D
9.0037,77.52296,341.98,0.48,0.48,2025-09-03,0746,N,nominal,2.0NRT,295.07,8.48,D
9.03912,77.78381,342.97,0.46,0.47,2025-09-03,0746,N,nominal,2.0NRT,294.34,6.38,D
9.00261,77.52425,350.72,0.48,0.48,2025-09-03,0746,N,nominal,2.0NRT,295.19,7.27,D
9.31191,79.29279,339.3,0.56,0.43,2025-09-03,0746,N,nominal,2.0NRT,300.47,5.77,D
9.28691,77.57578,339.13,0.48,0.48,2025-09-03,0746,N,nominal,2.0NRT,299.41,3.01,D
9.56121,78.45374,350.12,0.41,0.45,2025-09-03,0746,N,nominal,2.0NRT,295.56,5.72,D
9.74247,78.01687,330.19,0.44,0.46,2025-09-03,0746,N,nominal,2.0NRT,283,1.63,D
35.96989,100.35271,337.02,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,303.14,2,D
35.96912,100.34824,335.42,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,302.88,2,D
36.04691,100.43452,336.45,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,301.14,3.89,D
36.04615,100.43008,355.27,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,300.94,3.89,D
36.0454,100.42563,345.56,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,299.65,2.77,D
36.05129,100.4347,335.58,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,301.27,14.95,D
36.06317,100.42235,333.74,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,300.83,2.3,D
36.30367,100.59401,328.59,0.4,0.37,2025-09-03,0612,N,nominal,2.0NRT,299.96,2.01,D
36.50403,101.64542,340.54,0.39,0.36,2025-09-03,0612,N,nominal,2.0NRT,293.58,4.08,D
36.73742,101.61671,329.6,0.39,0.36,2025-09-03,0612,N,nominal,2.0NRT,296.17,2.32,D
37.25235,99.92915,344.87,0.41,0.37,2025-09-03,0612,N,nominal,2.0NRT,295.62,4.34,D
39.5843,99.74705,344.55,0.4,0.37,2025-09-03,0614,N,nominal,2.0NRT,310,3.24,D
39.58838,99.75068,339.49,0.4,0.37,2025-09-03,0614,N,low,2.0NRT,312.42,4.29,D
39.58762,99.74611,342.54,0.4,0.37,2025-09-03,0614,N,nominal,2.0NRT,311.3,3.98,D
39.8249,98.27537,333.47,0.43,0.38,2025-09-03,0614,N,low,2.0NRT,307.57,1.24,D
39.84286,98.27504,334.99,0.42,0.38,2025-09-03,0614,N,low,2.0NRT,309.39,1.59,D
23.7129,86.45055,329.7,0.42,0.45,2025-09-03,0750,N,nominal,2.0NRT,293.7,2.38,D
24.15773,82.56638,338.14,0.41,0.37,2025-09-03,0750,N,nominal,2.0NRT,292.43,3.42,D
32.98045,64.0927,343.44,0.53,0.67,2025-09-03,0754,N,nominal,2.0NRT,307.54,8.59,D
38.05186,67.26413,367,0.54,0.51,2025-09-03,0754,N,high,2.0NRT,353.88,160.83,D
36.47813,61.19595,334.48,0.61,0.71,2025-09-03,0754,N,low,2.0NRT,308.66,2.03,D
36.47622,61.19137,336.94,0.61,0.71,2025-09-03,0754,N,low,2.0NRT,310.8,4.26,D
38.93721,64.13982,343.36,0.37,0.58,2025-09-03,0756,N,nominal,2.0NRT,316.56,21.78,D
38.93611,64.1357,348.37,0.37,0.58,2025-09-03,0756,N,nominal,2.0NRT,316.36,64.93,D
38.94234,64.1376,367,0.37,0.58,2025-09-03,0756,N,high,2.0NRT,314.37,21.78,D
38.99405,64.07346,337.56,0.37,0.58,2025-09-03,0756,N,low,2.0NRT,312.33,1.81,D
38.9913,64.07484,341.69,0.37,0.58,2025-09-03,0756,N,nominal,2.0NRT,313.57,3.58,D
21.30371,57.79946,346.41,0.41,0.37,2025-09-03,0930,N,nominal,2.0NRT,315.59,1.25,D
21.37564,56.71573,342.96,0.39,0.36,2025-09-03,0932,N,low,2.0NRT,314.25,1.53,D
21.6652,56.40998,347.15,0.39,0.36,2025-09-03,0932,N,nominal,2.0NRT,315.86,1.31,D
21.8339,56.68145,344.55,0.39,0.36,2025-09-03,0932,N,nominal,2.0NRT,313.78,1.51,D
21.93562,57.07433,343.68,0.4,0.37,2025-09-03,0932,N,low,2.0NRT,315.33,3,D
22.44064,56.70022,345.18,0.39,0.36,2025-09-03,0932,N,low,2.0NRT,317.32,1.31,D
22.87212,55.61471,351.62,0.38,0.36,2025-09-03,0932,N,low,2.0NRT,323.53,2.81,D
24.50386,56.60873,348.23,0.4,0.37,2025-09-03,0932,N,nominal,2.0NRT,307.61,18.97,D
25.97415,56.06987,338.51,0.4,0.37,2025-09-03,0932,N,low,2.0NRT,310.29,9.22,D
27.16675,56.05256,343.54,0.4,0.37,2025-09-03,0932,N,nominal,2.0NRT,311.05,11.59,D
27.17071,56.05603,342.19,0.4,0.37,2025-09-03,0932,N,nominal,2.0NRT,310.56,10.92,D
36.4747,61.19485,348.47,0.59,0.53,2025-09-03,0934,N,nominal,2.0NRT,316.03,10.68,D
37.03331,62.41984,341.27,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,315.43,9.29,D
37.03167,62.41946,343.09,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,316,9.58,D
37.11887,62.36726,344.36,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,318.43,10.82,D
37.11775,62.36356,344.05,0.35,0.57,2025-09-03,0934,N,low,2.0NRT,318.79,12.16,D
36.94505,54.89208,332.83,0.44,0.39,2025-09-03,0937,N,low,2.0NRT,306.76,3.04,D
38.05109,67.2757,345.98,0.66,0.73,2025-09-03,0937,N,nominal,2.0NRT,308.83,50.16,D
38.05075,67.25955,339.15,0.66,0.73,2025-09-03,0937,N,low,2.0NRT,310.96,28.37,D
38.05092,67.26782,352.84,0.66,0.73,2025-09-03,0937,N,low,2.0NRT,332.35,50.16,D
38.05083,67.26948,367,0.66,0.73,2025-09-03,0937,N,high,2.0NRT,327.42,43.18,D
38.0507,67.26121,353.94,0.66,0.73,2025-09-03,0937,N,nominal,2.0NRT,312.57,43.18,D
37.56034,58.14101,351.31,0.42,0.45,2025-09-03,0937,N,nominal,2.0NRT,313.64,6.27,D
38.45335,65.80808,337.02,0.55,0.68,2025-09-03,0937,N,low,2.0NRT,309.65,1.58,D
38.76693,64.00457,334.91,0.44,0.63,2025-09-03,0937,N,nominal,2.0NRT,306.89,3.68,D
38.93571,64.13833,341.22,0.45,0.63,2025-09-03,0937,N,nominal,2.0NRT,315.66,18.06,D
38.94183,64.14336,367,0.45,0.63,2025-09-03,0937,N,high,2.0NRT,312.41,32.1,D
38.94161,64.13798,345.27,0.45,0.63,2025-09-03,0937,N,nominal,2.0NRT,317.54,18.06,D
38.91225,56.61966,341.62,0.55,0.43,2025-09-03,0937,N,low,2.0NRT,314.88,5.46,D
39.41101,62.84877,338.42,0.39,0.59,2025-09-03,0937,N,low,2.0NRT,311.15,1.75,D
25.3834,99.30354,296.88,0.54,0.51,2025-09-03,1836,N,nominal,2.0NRT,281.8,0.69,N
25.0664,101.5707,301.47,0.39,0.44,2025-09-03,1836,N,nominal,2.0NRT,288.63,0.53,N
25.06238,101.57006,301.45,0.39,0.44,2025-09-03,1836,N,nominal,2.0NRT,287.69,0.53,N
25.07074,99.28732,301.54,0.53,0.5,2025-09-03,1836,N,nominal,2.0NRT,286.88,1.34,N
24.91578,99.09541,298.45,0.55,0.51,2025-09-03,1836,N,nominal,2.0NRT,286.81,1.57,N
23.01738,101.06714,312.34,0.39,0.44,2025-09-03,1836,N,nominal,2.0NRT,289.77,1.59,N
22.63058,100.73226,303.31,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,288.53,1.25,N
22.6301,100.73613,300.53,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,288.36,0.79,N
7.71432,100.12819,326.08,0.44,0.39,2025-09-03,1841,N,nominal,2.0NRT,280.76,3.26,N
39.35204,100.11592,296.41,0.34,0.56,2025-09-03,1832,N,nominal,2.0NRT,285.21,1.18,N
38.52731,100.59303,315.54,0.63,0.54,2025-09-03,1832,N,nominal,2.0NRT,282.74,3.54,N
26.9652,100.35734,299.99,0.48,0.48,2025-09-03,1836,N,nominal,2.0NRT,285.25,1.09,N
26.62336,101.59438,338.78,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,287.63,5.95,N
26.62287,101.59875,321.27,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,287.28,3.52,N
26.61925,101.5938,325.34,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,287.22,4.01,N
26.6188,101.5978,321.3,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,287.58,3.34,N
26.63814,101.42458,303.03,0.42,0.45,2025-09-03,1836,N,nominal,2.0NRT,289.96,0.86,N
26.6207,101.59435,338.78,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,288.58,10.44,N
26.62019,101.59862,316.25,0.4,0.45,2025-09-03,1836,N,nominal,2.0NRT,287.56,5,N
26.63656,101.4249,306.01,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,289.92,0.99,N
26.62062,101.45282,314.65,0.41,0.45,2025-09-03,1836,N,nominal,2.0NRT,290.08,1.36,N
26.67118,100.19491,296.92,0.49,0.49,2025-09-03,1836,N,nominal,2.0NRT,286.49,1.35,N
26.66969,100.19353,300.44,0.49,0.49,2025-09-03,1836,N,nominal,2.0NRT,287.48,1.61,N
26.38244,101.97322,299.69,0.38,0.43,2025-09-03,1836,N,nominal,2.0NRT,287.15,0.9,N
26.58723,99.93031,295.17,0.51,0.49,2025-09-03,1836,N,nominal,2.0NRT,284.54,0.99,N
22.37968,87.28057,302.69,0.44,0.46,2025-09-03,2017,N,nominal,2.0NRT,272.75,1.61,N
22.36701,87.29983,302.34,0.44,0.46,2025-09-03,2017,N,nominal,2.0NRT,272.3,1.6,N
22.0557,88.12646,296,0.5,0.49,2025-09-03,2017,N,nominal,2.0NRT,257.22,1.67,N
20.96341,86.00834,322.69,0.39,0.44,2025-09-03,2017,N,nominal,2.0NRT,274.78,1.13,N
20.96413,86.00461,305.31,0.39,0.44,2025-09-03,2017,N,nominal,2.0NRT,272.55,1.42,N
20.96269,86.01208,296.9,0.39,0.44,2025-09-03,2017,N,nominal,2.0NRT,275.79,1.13,N
20.96374,86.00544,306.1,0.39,0.44,2025-09-03,2017,N,nominal,2.0NRT,272.79,0.68,N
20.96304,86.0092,304.42,0.39,0.44,2025-09-03,2017,N,nominal,2.0NRT,275.55,1.09,N
17.60918,83.20382,308.48,0.47,0.4,2025-09-03,2019,N,nominal,2.0NRT,286.87,1.76,N
17.60556,83.20312,310.81,0.47,0.4,2025-09-03,2019,N,nominal,2.0NRT,288.01,2.15,N
17.0627,76.98036,305.71,0.44,0.38,2025-09-03,2019,N,nominal,2.0NRT,283.54,1.12,N
15.33525,76.28695,304.05,0.45,0.39,2025-09-03,2019,N,nominal,2.0NRT,284.69,1.03,N
15.17912,77.10315,307.66,0.42,0.37,2025-09-03,2019,N,nominal,2.0NRT,285.89,1.29,N
15.22607,76.76451,308.35,0.43,0.38,2025-09-03,2019,N,nominal,2.0NRT,283.7,1.66,N
15.17599,76.69126,300.13,0.43,0.38,2025-09-03,2019,N,nominal,2.0NRT,284.12,0.84,N
15.17775,76.65452,300.39,0.43,0.38,2025-09-03,2019,N,nominal,2.0NRT,280.9,1.53,N
15.17249,76.69076,304.57,0.43,0.38,2025-09-03,2019,N,nominal,2.0NRT,284.89,1.01,N
15.1678,76.67361,300.6,0.43,0.38,2025-09-03,2019,N,nominal,2.0NRT,284.27,0.99,N
13.26898,78.13963,302.8,0.39,0.36,2025-09-03,2019,N,nominal,2.0NRT,287.36,0.37,N
11.27017,80.0046,309.02,0.41,0.37,2025-09-03,2021,N,nominal,2.0NRT,272.62,1.19,N
7.97561,81.09798,302.99,0.48,0.4,2025-09-03,2021,N,nominal,2.0NRT,282.38,0.63,N
8.04027,80.51145,307.21,0.45,0.39,2025-09-03,2021,N,nominal,2.0NRT,278.91,1.61,N
8.34209,77.59319,320.29,0.38,0.36,2025-09-03,2021,N,nominal,2.0NRT,286.3,1.27,N
7.82351,80.64317,305.04,0.46,0.39,2025-09-03,2021,N,nominal,2.0NRT,277.49,0.83,N
7.33271,81.47408,310.76,0.51,0.41,2025-09-03,2021,N,nominal,2.0NRT,291.68,0.95,N
7.30587,81.10109,307.77,0.49,0.4,2025-09-03,2021,N,nominal,2.0NRT,294.16,1.5,N
6.90314,81.05595,304.74,0.49,0.41,2025-09-03,2021,N,nominal,2.0NRT,281.76,0.64,N
39.35314,100.11642,295.68,0.48,0.64,2025-09-03,2012,N,nominal,2.0NRT,283.94,0.82,N
39.7309,75.01594,295.19,0.33,0.55,2025-09-03,2014,N,nominal,2.0NRT,282.87,0.46,N
32.10965,74.17746,302.18,0.62,0.54,2025-09-03,2017,N,nominal,2.0NRT,286.92,1.4,N
29.37473,91.15165,301.33,0.55,0.51,2025-09-03,2017,N,nominal,2.0NRT,280.97,1.05,N
29.22692,88.35198,306.27,0.38,0.43,2025-09-03,2017,N,nominal,2.0NRT,283.03,1.92,N
26.64362,79.47756,306.73,0.43,0.38,2025-09-03,2017,N,nominal,2.0NRT,292.13,0.51,N
24.20778,82.71201,297.71,0.39,0.37,2025-09-03,2019,N,nominal,2.0NRT,266.56,0.53,N
24.14416,82.71236,295.27,0.39,0.37,2025-09-03,2019,N,nominal,2.0NRT,269.5,0.61,N
24.15767,82.56796,300.87,0.39,0.36,2025-09-03,2019,N,nominal,2.0NRT,263.34,0.65,N
21.33538,57.72547,305.25,0.42,0.38,2025-09-03,2159,N,nominal,2.0NRT,293.68,1.07,N
21.33193,57.72479,304.5,0.42,0.38,2025-09-03,2159,N,nominal,2.0NRT,293.97,0.98,N
21.31465,57.74235,313.7,0.42,0.38,2025-09-03,2159,N,nominal,2.0NRT,294.13,1.48,N
21.31049,57.74575,312.41,0.42,0.38,2025-09-03,2159,N,nominal,2.0NRT,293.42,1.48,N
21.37561,56.71508,321.53,0.4,0.37,2025-09-03,2159,N,nominal,2.0NRT,296.35,1.14,N
21.33331,56.69926,337.47,0.4,0.37,2025-09-03,2159,N,nominal,2.0NRT,301.34,8.5,N
20.55949,56.41963,308.79,0.4,0.37,2025-09-03,2159,N,nominal,2.0NRT,296.27,2.11,N
19.3485,56.45922,319.78,0.4,0.37,2025-09-03,2159,N,nominal,2.0NRT,295.92,2.42,N
18.6882,55.50617,332.83,0.39,0.36,2025-09-03,2159,N,nominal,2.0NRT,296.62,3.6,N
18.55693,55.86986,304.57,0.39,0.37,2025-09-03,2159,N,nominal,2.0NRT,294.29,0.7,N
18.46383,55.23431,328.03,0.39,0.36,2025-09-03,2159,N,nominal,2.0NRT,303.39,22.07,N
18.46442,55.23066,310.6,0.39,0.36,2025-09-03,2159,N,nominal,2.0NRT,296.06,22.07,N
18.32148,55.10493,318.26,0.39,0.36,2025-09-03,2159,N,nominal,2.0NRT,294.74,2.06,N
39.20297,66.83686,302.67,0.39,0.44,2025-09-03,2153,N,nominal,2.0NRT,291.26,0.72,N
39.47897,63.54679,306.72,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,290.81,0.78,N
39.43389,62.99609,305.04,0.41,0.37,2025-09-03,2153,N,nominal,2.0NRT,289.5,0.44,N
39.17954,64.14955,303.36,0.45,0.39,2025-09-03,2153,N,nominal,2.0NRT,290.26,0.76,N
39.41165,62.84825,304.51,0.41,0.37,2025-09-03,2153,N,nominal,2.0NRT,291.42,0.84,N
39.30672,62.97626,300.98,0.41,0.37,2025-09-03,2153,N,nominal,2.0NRT,289.85,0.68,N
39.27716,63.08574,300.55,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.67,0.3,N
39.25053,63.17365,303.51,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.96,0.92,N
39.17665,63.57735,300.07,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,287.81,0.36,N
39.20307,63.27617,299.7,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,288.42,0.44,N
38.67939,65.95291,300.15,0.54,0.42,2025-09-03,2153,N,nominal,2.0NRT,289.72,0.76,N
