latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
9.09566,80.30157,335.31,0.51,0.49,2025-09-09,0733,N,nominal,2.0NRT,293.93,8.64,D
8.8956,77.93531,348.72,0.37,0.58,2025-09-09,0733,N,nominal,2.0NRT,287.92,6.84,D
8.91924,77.4819,330.75,0.4,0.6,2025-09-09,0733,N,nominal,2.0NRT,294.19,5.03,D
8.92541,77.48456,338.62,0.4,0.6,2025-09-09,0733,N,nominal,2.0NRT,293.39,4.02,D
8.92474,77.48093,338.3,0.4,0.6,2025-09-09,0733,N,nominal,2.0NRT,294.12,6.82,D
9.35006,78.96556,334.72,0.62,0.54,2025-09-09,0733,N,nominal,2.0NRT,283.19,4.37,D
9.90226,79.12436,341.96,0.59,0.53,2025-09-09,0733,N,nominal,2.0NRT,291.89,7.67,D
13.79912,79.83883,336.8,0.46,0.47,2025-09-09,0733,N,nominal,2.0NRT,300.3,5,D
13.60114,77.36578,341.81,0.33,0.56,2025-09-09,0733,N,nominal,2.0NRT,295.28,3.26,D
13.84357,76.79655,335.4,0.36,0.57,2025-09-09,0735,N,nominal,2.0NRT,296.86,4.87,D
13.84315,76.79835,334.58,0.36,0.57,2025-09-09,0735,N,nominal,2.0NRT,297.93,3.94,D
14.39481,79.63586,332.53,0.46,0.47,2025-09-09,0735,N,nominal,2.0NRT,297.76,2.16,D
14.515,80.17699,335.97,0.42,0.45,2025-09-09,0735,N,nominal,2.0NRT,299.92,3.28,D
14.29007,78.07635,331.55,0.58,0.52,2025-09-09,0735,N,nominal,2.0NRT,298.24,6.01,D
14.7442,79.64711,333.81,0.45,0.47,2025-09-09,0735,N,nominal,2.0NRT,302.34,4.21,D
15.44478,79.94355,339.78,0.42,0.45,2025-09-09,0735,N,nominal,2.0NRT,297.43,7.85,D
15.42154,77.88815,338.19,0.57,0.52,2025-09-09,0735,N,nominal,2.0NRT,297.04,11.72,D
15.30475,77.08748,357.23,0.32,0.55,2025-09-09,0735,N,nominal,2.0NRT,299.95,6.24,D
15.30339,77.08894,339.82,0.32,0.55,2025-09-09,0735,N,nominal,2.0NRT,299.46,2.55,D
15.30279,77.08591,340.22,0.32,0.55,2025-09-09,0735,N,nominal,2.0NRT,297.86,2.55,D
38.50474,100.5558,330.99,0.47,0.4,2025-09-09,0559,N,low,2.0NRT,304.17,3.41,D
38.05046,67.26736,367,0.39,0.59,2025-09-09,0741,N,high,2.0NRT,349.73,143.46,D
38.04931,67.26313,367,0.39,0.59,2025-09-09,0741,N,low,2.0NRT,325.9,89.88,D
